NAME|UPDATE_NAME
Brunei Darussalam|Brunei
Democratic Republic of the Congo|Congo
Falkland Islands (Malvinas)|Falkland Islands
Micronesia, Federated States of|Micronesia
Iran (Islamic Republic of)|Iran
Cote d'Ivoire|Ivory Coast
Korea, Democratic People's Republic of|North Korea
Korea, Republic of|South Korea
Lao People's Democratic Republic|Laos
Libyan Arab Jamahiriya|Libya
The former Yugoslav Republic of Macedonia|Republic of Macedonia
Republic of Moldova|Moldova
United Republic of Tanzania|Tanzania
United States Virgin Islands|US Virgin Islands
Holy See (Vatican City)|Vatican City
South Georgia South Sandwich Islands